,Country,Fatal,Injury_type,Activity_type
1465,USA,N,Upper limbs,Swimming
1466,USA,N,Minor,Swimming
1467,USA,N,Lower limbs,Surfing
1469,BAHAMAS,N,Severe,Swimming
1470,USA,N,Lower limbs,Surfing
1471,BRAZIL,Y,Fatal,Surfing
1472,USA,N,no harm,Diving
1473,USA,N,Lower limbs,Surfing
1474,USA,N,Lower limbs,Sole cases or undescribed activities
1475,AUSTRALIA,N,no harm,Surfing
1476,USA,N,Upper limbs,Swimming
1477,USA,N,no harm,Shark fishing
1478,USA,N,no harm,Surfing
1479,USA,N,Lower limbs,Swimming
1480,BRAZIL,N,Lower limbs,Surfing
1481,USA,N,Lower limbs,Diving
1482,USA,N,Upper limbs,Sole cases or undescribed activities
1483,USA,N,Lower limbs,Swimming
1484,AUSTRALIA,N,Severe,Diving
1486,USA,N,Lower limbs,Surfing
1487,USA,N,Lower limbs,Sole cases or undescribed activities
1488,USA,N,Lower limbs,Fishing
1489,AUSTRALIA,N,Minor,Surfing
1490,SOUTH AFRICA,N,Lower limbs,Surfing
1491,BRAZIL,N,Lower limbs,Swimming
1492,USA,N,Minor,Sole cases or undescribed activities
1493,Sierra Leone,Y,Fatal,Fishing
1494,USA,N,Lower limbs,Surfing
1495,SOUTH AFRICA,N,Fatal,Swimming
1496,FIJI,N,Upper limbs,Surfing
1497,AUSTRALIA,N,no harm,Surfing
1498,USA,N,Lower limbs,Sole cases or undescribed activities
1499,USA,N,Bitten,Diving
1500,AUSTRALIA,N,Lower limbs,Sole cases or undescribed activities
1501,AUSTRALIA,N,Upper limbs,Swimming
1502,AUSTRALIA,N,no harm,Fishing
1503,SOUTH AFRICA,N,Lower limbs,Surfing
1504,TONGA,Y,Fatal,Swimming
1505,USA,N,no harm,In kayak or canoe
1506,ATLANTIC OCEAN,N,no harm,In kayak or canoe
1507,SOUTH AFRICA,N,Upper limbs,Swimming
1508,ATLANTIC OCEAN,N,no harm,In kayak or canoe
1509,USA,N,no harm,Surfing
1510,AUSTRALIA,N,Lacerations,Diving
1511,BAHAMAS,N,no harm,Diving
1512,AUSTRALIA,Y,Fatal,Swimming
1513,USA,N,Upper limbs,Surfing
1514,SOUTH AFRICA,N,Minor,Diving
1515,USA,N,Lower limbs,Surfing
1516,USA,N,Upper limbs,Swimming
1517,ATLANTIC OCEAN,N,no harm,In kayak or canoe
1518,AUSTRALIA,N,Upper limbs,Swimming
1519,AUSTRALIA,N,no harm,Fishing
1520,USA,N,Lower limbs,Surfing
1521,USA,N,Lacerations,Surfing
1522,AUSTRALIA,N,no harm,Fishing
1523,AUSTRALIA,N,Lower limbs,Surfing
1524,SOUTH AFRICA,N,Minor,Surfing
1525,NEW CALEDONIA,N,Upper limbs,Swimming
1526,USA,N,Lower limbs,Surfing
1527,USA,N,Lower limbs,Surfing
1528,NEW CALEDONIA,N,no harm,Sole cases or undescribed activities
1529,SOUTH AFRICA,N,No harm,Shark fishing
1530,USA,N,Lower limbs,Surfing
1531,USA,N,no harm,Surfing
1532,USA,N,no harm,Surfing
1533,USA,N,Lower limbs,Sole cases or undescribed activities
1534,ST. MAARTIN,N,Lower limbs,Sole cases or undescribed activities
1535,SOUTH AFRICA,N,Lower limbs,Surfing
1536,USA,N,no harm,Surfing
1537,USA,N,Lower limbs,Surfing
1538,USA,N,Minor,Sole cases or undescribed activities
1539,USA,N,no harm,Surfing
1540,GRAND CAYMAN,N,no harm,Diving
1541,USA,N,Lower limbs,Surfing
1542,BAHAMAS,N,Severe,Diving
1543,SOUTH AFRICA,N,no harm,Surfing
1544,AUSTRALIA,N,no harm,Surfing
1545,AUSTRALIA,N,Lower limbs,Surfing
1546,AUSTRALIA,N,no harm,Surfing
1547,USA,N,Lower limbs,Surfing
1548,USA,N,Minor,Surfing
1549,USA,Y,Fatal,Surfing
1550,AUSTRALIA,N,Lower limbs,Sole cases or undescribed activities
1551,USA,N,Severe,Sole cases or undescribed activities
1552,AUSTRALIA,N,Lower limbs,Surfing
1553,USA,N,Lower limbs,Surfing
1554,THAILAND,Y,Fatal,Shark fishing
1555,AUSTRALIA,Y,Fatal,Diving
1556,USA,N,Lower limbs,Surfing
1557,USA,N,Lower limbs,Surfing
1558,USA,N,Upper limbs,Swimming
1559,USA,N,Lower limbs,Sole cases or undescribed activities
1560,SOUTH AFRICA,N,Lower limbs,Sole cases or undescribed activities
1561,USA,N,Upper limbs,Surfing
1562,USA,N,Lower limbs,Swimming
1563,Seychelles,N,Fatal,Fishing
1564,USA,N,Upper limbs,Sole cases or undescribed activities
1565,USA,N,Minor,Surfing
1566,USA,N,Lower limbs,Surfing
1568,CHINA,N,Severe,Diving
1569,AUSTRALIA,N,Minor,Sole cases or undescribed activities
1570,USA,N,Upper limbs,Swimming
1571,USA,N,Lower limbs,Boating
1572,USA,N,Lower limbs,Sole cases or undescribed activities
1573,USA,N,Severe,Fishing
1574,USA,Y,Fatal,Surfing
1575,VANUATU,Y,Fatal,Swimming
1576,MEXICO ,N,Lower limbs,Surfing
1577,USA,N,no harm,Swimming
1578,USA,N,Lower limbs,Swimming
1579,SOUTH KOREA,N,Lower limbs,Diving
1580,USA,N,Lower limbs,Surfing
1581,USA,N,Severe,Surfing
1582,SOUTH AFRICA,Y,Fatal,Swimming
1583,USA,N,Lower limbs,Sole cases or undescribed activities
1584,USA,N,Lower limbs,Swimming
1585,USA,N,Severe,Sole cases or undescribed activities
1586,SOUTH AFRICA,N,Lower limbs,Surfing
1587,AUSTRALIA,N,Severe,Swimming
1588,USA,N,no harm,In kayak or canoe
1589,MADAGASCAR,N,Lower limbs,Fishing
1590,USA,N,no harm,Sole cases or undescribed activities
1591,USA,N,no harm,Surfing
1592,AUSTRALIA,N,Lower limbs,Fishing
1593,AUSTRALIA,N,Bitten,Sole cases or undescribed activities
1594,AUSTRALIA,N,Minor,Swimming
1595,AUSTRALIA,N,no harm,Surfing
1596,USA,N,Lower limbs,Sole cases or undescribed activities
1597,USA,N,Severe,Surfing
1598,USA,N,Lower limbs,Surfing
1599,USA,N,Severe,Sole cases or undescribed activities
1600,HONDURAS,N,Lower limbs,Diving
1601,SOUTH AFRICA,N,Lower limbs,Surfing
1602,AUSTRALIA,N,no harm,Surfing
1603,VENEZUELA,N,Lower limbs,Surfing
1604,AUSTRALIA,Y,Fatal,Diving
1605,USA,N,Upper limbs,Diving
1607,NEW ZEALAND,N,no harm,Fishing
1608,SOLOMON ISLANDS,N,Lower limbs,Diving
1609,AUSTRALIA,N,Minor,Swimming
1610,USA,N,Severe,Swimming
1611,USA,N,no harm,Surfing
1612,USA,N,Upper limbs,Swimming
1613,BRAZIL,N,Severe,Surfing
1614,CUBA,N,Severe,Swimming
1615,AUSTRALIA,N,no harm,Swimming
1616,AUSTRALIA,N,no harm,Shark fishing
1617,NEW ZEALAND,N,no harm,In kayak or canoe
1618,SRI LANKA,N,no harm,Sole cases or undescribed activities
1619,AUSTRALIA,Y,Fatal,Surfing
1620,AUSTRALIA,Y,Fatal,Swimming
1621,SOUTH AFRICA,N,Lower limbs,Surfing
1622,SOUTH AFRICA,N,Lower limbs,Sole cases or undescribed activities
1623,SOUTH AFRICA,Y,Fatal,Swimming
1624,USA,N,Lower limbs,Surfing
1625,VANUATU,N,Lower limbs,Diving
1626,NEW CALEDONIA,N,Upper limbs,Diving
1627,CUBA,N,Upper limbs,Diving
1628,NEW ZEALAND,N,no harm,Sole cases or undescribed activities
1629,SOUTH AFRICA,N,Lower limbs,Shark fishing
1630,AUSTRALIA,N,Lower limbs,Surfing
1631,USA,N,Lower limbs,Surfing
1632,USA,N,Upper limbs,Swimming
1633,SOUTH AFRICA,N,Lower limbs,Surfing
1634,REUNION,N,Severe,Surfing
1635,USA,N,no harm,Surfing
1636,USA,N,no harm,Surfing
1637,AUSTRALIA,N,no harm,Swimming
1638,USA,N,Lower limbs,Surfing
1639,USA,N,Minor,Surfing
1640,BRAZIL,Y,Fatal,Swimming
1641,USA,N,Lower limbs,Playing
1642,USA,N,Minor,Sole cases or undescribed activities
1643,BRAZIL,N,Severe,Swimming
1644,USA,N,Lower limbs,Surfing
1645,USA,Y,Fatal,Diving
1646,USA,N,Severe,Swimming
1647,AUSTRALIA,N,Minor,Swimming
1648,SOUTH AFRICA,N,no harm,Fishing
1649,USA,N,Lower limbs,Surfing
1650,RUSSIA,N,Lower limbs,Diving
1651,USA,N,Lower limbs,Surfing
1652,USA,N,Upper limbs,Swimming
1653,USA,N,Lower limbs,Swimming
1654,USA,N,Severe,Fishing
1655,AUSTRALIA,N,Severe,Fishing
1656,JAPAN,N,Severe,Boating
1657,AUSTRALIA,Y,Fatal,Surfing
1658,EGYPT,N,Severe,Diving
1659,USA,N,Lower limbs,Sole cases or undescribed activities
1660,USA,N,no harm,Surfing
1661,AUSTRALIA,N,no harm,Fishing
1662,USA,N,Lower limbs,Diving
1663,AUSTRALIA,N,Lower limbs,Surfing
1664,USA,N,Upper limbs,Swimming
1665,SOUTH AFRICA,Y,Fatal,Swimming
1666,USA,N,Lower limbs,Sole cases or undescribed activities
1667,BRAZIL,N,Severe,Swimming
1668,USA,N,no harm,Surfing
1669,USA,N,Lower limbs,Surfing
1670,USA,N,Lower limbs,Swimming
1671,USA,N,Lower limbs,Sole cases or undescribed activities
1672,BRAZIL,N,Severe,Sole cases or undescribed activities
1673,BAHAMAS,N,Upper limbs,Swimming
1674,USA,N,no harm,Surfing
1675,BRAZIL,Y,Fatal,Swimming
1676,AUSTRALIA,N,Upper limbs,Diving
1677,NEW ZEALAND,N,no harm,Fishing
1678, TONGA,Y,Severe,Boating
1679, TONGA,Y,Upper limbs,Boating
1680,USA,Y,Fatal,Surfing
1681,SOUTH AFRICA,N,Severe,Surfing
1683,USA,N,Lower limbs,Sole cases or undescribed activities
1684,USA,N,Lower limbs,Surfing
1685,BRAZIL,N,Lower limbs,Surfing
1686,USA,N,Minor,Surfing
1687,REUNION,N,Lower limbs,Surfing
1688,USA,N,Minor,Swimming
1689,USA,N,Lower limbs,Diving
1690,NEW ZEALAND,N,no harm,Swimming
1691,USA,N,no harm,Surfing
1692,AUSTRALIA,N,Lower limbs,Swimming
1693,BRAZIL,Y,Fatal,Swimming
1694,NEW ZEALAND,N,Lower limbs,Surfing
1695,AUSTRALIA,N,Minor,Swimming
1697,EGYPT,Y,Fatal,Diving
1698,AUSTRALIA,N,Lower limbs,Diving
1699,AUSTRALIA,N,Lower limbs,Diving
1700,URUGUAY,N,Lower limbs,Surfing
1701,NEW ZEALAND,N,no harm,Surfing
1702,VENEZUELA,N,Upper limbs,Swimming
1703,VENEZUELA,N,Lower limbs,Swimming
1704,SOUTH AFRICA,N,no harm,Surfing
1705,AUSTRALIA,N,no harm,Diving
1706,SOUTH AFRICA,N,Lower limbs,Surfing
1707,NEW ZEALAND,N,no harm,Swimming
1709,AUSTRALIA,N,No harm,Surfing
1710,SOUTH AFRICA,N,no harm,Sole cases or undescribed activities
1711,USA,N,Lower limbs,Swimming
1712,USA,N,Lower limbs,Swimming
1713,NEW ZEALAND,Y,Fatal,Swimming
1714,AUSTRALIA,N,No harm,Surfing
1715,AUSTRALIA,N,Lower limbs,Swimming
1716,AUSTRALIA,N,Lower limbs,Swimming
1717,SOUTH AFRICA,Y,Fatal,Swimming
1718,USA,N,Severe,Surfing
1719,INDIA,N,Minor,Surfing
1720,USA,N,Upper limbs,Surfing
1721,EGYPT,N,Severe,Diving
1722,SOUTH AFRICA,N,no harm,Surfing
1723,AUSTRALIA,N,Minor,Sole cases or undescribed activities
1724,PANAMA,N,Upper limbs,Swimming
1725,USA,N,Lower limbs,Surfing
1726,AUSTRALIA,N,Lower limbs,Surfing
1727,USA,N,Severe,Surfing
1728,USA,N,Minor,Surfing
1729,USA,N,Upper limbs,Diving
1730,USA,N,Lower limbs,Surfing
1731,USA,Y,Fatal,Swimming
1732,USA,N,Minor,Surfing
1733,USA,N,Lower limbs,Surfing
1734,USA,N,Lower limbs,Surfing
1735,USA,N,Lower limbs,Surfing
1736,USA,N,Minor,Fishing
1737,FIJI,Y,Fatal,Boating
1738,USA,N,Upper limbs,Surfing
1739,USA,N,Lower limbs,Surfing
1740,USA,N,Minor,Surfing
1741,USA,N,Lower limbs,Surfing
1742,USA,N,Minor,Surfing
1743,SOUTH AFRICA,N,no harm,Fishing
1744,USA,N,Lower limbs,Swimming
1745,USA,N,Lower limbs,Surfing
1746,USA,N,Lower limbs,Shark fishing
1747,SOUTH AFRICA,Y,Fatal,Surfing
1748,USA,N,Lacerations,Fishing
1749,USA,N,Upper limbs,Fishing
1750,USA,Y,Fatal,Swimming
1751,USA,N,Lower limbs,Swimming
1752,SOUTH AFRICA,N,no harm,Surfing
1753,AUSTRALIA,N,no harm,Surfing
1754,USA,N,Minor,Surfing
1755,USA,N,Minor,Sole cases or undescribed activities
1756,BAHAMAS,N,Lower limbs,Swimming
1757,USA,N,Lower limbs,Surfing
1758,USA,N,Lower limbs,Surfing
1759,BAHAMAS,N,Lower limbs,Swimming
1760,USA,N,Minor,Swimming
1761,FRENCH POLYNESIA,N,Lower limbs,Swimming
1762,NEW ZEALAND,N,Severe,Diving
1763,USA,N,Minor,Surfing
1764,USA,N,Lower limbs,Surfing
1765,BRAZIL,Y,Fatal,Sole cases or undescribed activities
1766,USA,N,Lower limbs,Sole cases or undescribed activities
1767,USA,N,Lower limbs,Swimming
1768,USA,N,Lower limbs,Swimming
1769,USA,N,Upper limbs,Surfing
1770,USA,N,Lower limbs,Surfing
1771,USA,N,Lower limbs,Swimming
1772,USA,N,Lower limbs,Surfing
1773,USA,N,Lower limbs,Sole cases or undescribed activities
1774,USA,N,Minor,Swimming
1775,USA,N,Lower limbs,Surfing
1776,USA,N,Lower limbs,Sole cases or undescribed activities
1777,PHILIPPINES,N,Severe,Sole cases or undescribed activities
1778,BRAZIL,N,Lower limbs,Shark fishing
1779,BRAZIL,N,Minor,Swimming
1780,BRAZIL,N,Severe,Surfing
1781,BRAZIL,N,Upper limbs,Swimming
1782,USA,N,Lower limbs,Surfing
1784,USA,N,Lower limbs,Surfing
1785,USA,N,Lower limbs,Surfing
1786,USA,N,Lower limbs,Surfing
1787,USA,N,Lower limbs,Playing
1788,USA,N,Lower limbs,Surfing
1789,USA,N,Lower limbs,Swimming
1790,VENEZUELA,N,Severe,Surfing
1791,USA,N,Upper limbs,Surfing
1792,USA,N,Upper limbs,Surfing
1793,USA,N,Upper limbs,Shark fishing
1794,NEW ZEALAND,N,Upper limbs,Diving
1795,AUSTRALIA,N,Lower limbs,Sole cases or undescribed activities
1796,USA,N,Upper limbs,Swimming
1797,AUSTRALIA,N,Minor,Swimming
1798,AUSTRALIA,Y,Fatal,Swimming
1799,SOUTH AFRICA,N,Bitten,Sole cases or undescribed activities
1800,COSTA RICA,N,Lower limbs,Surfing
1801,AUSTRALIA,N,no harm,Surfing
1802,AUSTRALIA,N,Upper limbs,Diving
1803,SOUTH AFRICA,N,Upper limbs,Diving
1804,AUSTRALIA,N,Bitten,Diving
1805,AUSTRALIA,N,Lower limbs,Swimming
1806,AUSTRALIA,Y,Fatal,Swimming
1807,BRAZIL,Y,Fatal,Surfing
1808,MICRONESIA,N,Minor,Diving
1809,USA,N,Severe,Surfing
1810,USA,N,Upper limbs,Swimming
1811,TURKS & CAICOS,N,Severe,Diving
1812,USA,N,Lacerations,Surfing
1813,USA,N,Lower limbs,Surfing
1814,FRENCH POLYNESIA,N,Lower limbs,Fishing
1815,USA,N,Lower limbs,Swimming
1816,BRAZIL,Y,Fatal,Swimming
1817,USA,N,Lower limbs,Surfing
1818,USA,N,Minor,Surfing
1819,USA,N,Minor,Surfing
1820,USA,N,Upper limbs,Surfing
1821,USA,N,Severe,Surfing
1822,USA,N,Upper limbs,Surfing
1823,USA,N,no harm,Surfing
1824,USA,N,Lacerations,Fishing
1825,TONGA,N,Lower limbs,Swimming
1826,USA,N,Lower limbs,Surfing
1827,USA,N,no harm,Surfing
1828,BRAZIL,N,Lower limbs,Swimming
1829,USA,N,no harm,Surfing
1830,SOUTH AFRICA,N,no harm,Surfing
1831,USA,N,Lower limbs,Surfing
1832,USA,N,Lower limbs,Shark fishing
1833,USA,N,Lower limbs,Surfing
1834,USA,N,Lower limbs,Swimming
1835,USA,N,Minor,Surfing
1836,USA,N,Minor,Surfing
1837,USA,N,Lower limbs,Sole cases or undescribed activities
1838,UNITED KINGDOM,N,Upper limbs,Diving
1839,USA,N,Lower limbs,Sole cases or undescribed activities
1840,USA,N,Minor,Surfing
1841,USA,N,Lower limbs,Swimming
1842,USA,N,Lower limbs,Surfing
1844,BRAZIL,N,Severe,Surfing
1845,USA,N,Lower limbs,Sole cases or undescribed activities
1846,AUSTRALIA,N,Minor,Surfing
1847,USA,N,Lower limbs,Swimming
1848,INDONESIA,N,Lower limbs,Sole cases or undescribed activities
1849,PAPUA NEW GUINEA,N,Severe,Sole cases or undescribed activities
1850,PAPUA NEW GUINEA,Y,Fatal,Sole cases or undescribed activities
1851,USA,N,no harm,Surfing
1852,USA,N,Upper limbs,Surfing
1853,USA,N,Lower limbs,Surfing
1854,USA,N,Lower limbs,Swimming
1855,SOUTH AFRICA,N,Upper limbs,Diving
1856,USA,N,Lower limbs,Surfing
1857,USA,N,Lower limbs,Swimming
1858,USA,N,Lower limbs,Shark fishing
1859,USA,N,Lower limbs,Surfing
1861,PAPUA NEW GUINEA,N,Upper limbs,Sole cases or undescribed activities
1862,USA,N,Upper limbs,Fishing
1863,BRAZIL,N,Severe,Surfing
1864,AUSTRALIA,N,Minor,Fishing
1865,AUSTRALIA,Y,Fatal,Surfing
1867,USA,N,Lower limbs,Surfing
1868,USA,N,Lower limbs,Surfing
1869,AUSTRALIA,N,Lower limbs,Swimming
1870,BAHAMAS,N,Lower limbs,Sole cases or undescribed activities
1871,USA,N,Minor,Sole cases or undescribed activities
1872,USA,N,Upper limbs,Swimming
1873,USA,N,Severe,Surfing
1874,USA,N,Lower limbs,Sole cases or undescribed activities
1875,BRAZIL,Y,Fatal,Swimming
1876,USA,N,Lower limbs,Surfing
1877,USA,N,Upper limbs,Diving
1878,USA,N,Lower limbs,Surfing
1879,NEW CALEDONIA,N,Fatal,Swimming
1880,TURKS & CAICOS,Y,Fatal,Boating
1881,AUSTRALIA,N,Minor,Surfing
1882,FIJI,Y,Fatal,Sole cases or undescribed activities
1883,AUSTRALIA,N,Severe,In kayak or canoe
1884,AUSTRALIA,N,Minor,Surfing
1885,AUSTRALIA,N,Lower limbs,Swimming
1886,SOUTH AFRICA,N,Lower limbs,Fishing
1887,BRAZIL,Y,Fatal,Swimming
1888,SOUTH AFRICA,N,Lower limbs,Surfing
1889,USA,N,Lower limbs,Diving
1890,AUSTRALIA,N,no harm,Surfing
1891,AUSTRALIA,N,no harm,Surfing
1892,USA,N,Severe,Surfing
1893,AUSTRALIA,N,no harm,Surfing
1894,SOUTH AFRICA,N,no harm,Sole cases or undescribed activities
1895,AUSTRALIA,N,Severe,Diving
1896,MEXICO,N,Severe,Surfing
1897,AUSTRALIA,N,no harm,Sole cases or undescribed activities
1898,USA,N,Lower limbs,Surfing
1899,USA,N,Lower limbs,Surfing
1900,USA,Y,Fatal,Diving
1901,USA,N,Lacerations,Surfing
1902,USA,N,Lower limbs,Surfing
1903,UNITED KINGDOM,N,Severe,Diving
1904,USA,N,Minor,Fishing
1905,USA,N,Minor,Sole cases or undescribed activities
1906,USA,N,Severe,Swimming
1907,USA,Y,Fatal,Swimming
1908,USA,N,Severe,Swimming
1909,USA,N,Lower limbs,Sole cases or undescribed activities
1910,USA,Y,Fatal,Swimming
1911,BAHAMAS,N,Severe,Swimming
1912,USA,N,Upper limbs,Sole cases or undescribed activities
1913,USA,N,Minor,Sole cases or undescribed activities
1914,USA,N,Lower limbs,Surfing
1915,USA,N,Lower limbs,Surfing
1916,USA,N,Lower limbs,Surfing
1917,USA,N,Lower limbs,Surfing
1918,USA,N,Lower limbs,Surfing
1919,USA,N,Lower limbs,Surfing
1920,USA,N,Lower limbs,Surfing
1921,USA,N,Lower limbs,Surfing
1922,USA,N,Upper limbs,Surfing
1923,USA,N,Lower limbs,Surfing
1924,BAHAMAS,N,Lower limbs,Swimming
1925,THAILAND,N,Lower limbs,Boating
1926,USA,N,Minor,Sole cases or undescribed activities
1927,BAHAMAS,N,Lower limbs,Swimming
1928,ITALY,N,no harm,Fishing
1930,USA,N,Minor,Sole cases or undescribed activities
1931,USA,N,Lower limbs,Sole cases or undescribed activities
1932,USA,N,no harm,Fishing
1933,USA,N,Minor,Surfing
1934,USA,N,Lower limbs,Surfing
1935,MEXICO,N,Lower limbs,Surfing
1936,USA,N,Severe,Swimming
1937,USA,N,Upper limbs,Sole cases or undescribed activities
1938,USA,N,Lower limbs,Swimming
1939,USA,N,Lower limbs,Swimming
1940,USA,N,no harm,Swimming
1942,USA,N,Upper limbs,Sole cases or undescribed activities
1944,USA,N,Lower limbs,Swimming
1945,USA,N,Lower limbs,Swimming
1946,PHILIPPINES,N,Upper limbs,Shark fishing
1947,MADAGASCAR,N,Fatal,Sole cases or undescribed activities
1948,SOUTH AFRICA,N,Lower limbs,Surfing
1949,AUSTRALIA,N,Severe,Surfing
1950,USA,N,Lower limbs,Surfing
1951,FIJI,Y,Fatal,Swimming
1952,USA,N,Lower limbs,Surfing
1953,USA,N,Lower limbs,Surfing
1954,USA,N,Lower limbs,Surfing
1955,USA,N,Lower limbs,Sole cases or undescribed activities
1956,USA,N,Lower limbs,Surfing
1957,USA,N,Minor,Surfing
1958,USA,N,Lower limbs,Surfing
1959,USA,N,Lower limbs,Surfing
1960,USA,N,Minor,Surfing
1961,USA,N,Lower limbs,Surfing
1962,USA,N,Minor,Surfing
1963,USA,N,Lower limbs,Surfing
1964,SOUTH AFRICA,N,Severe,Surfing
1965,AUSTRALIA,N,Upper limbs,Diving
1966,USA,N,Minor,Surfing
1967,BRAZIL,N,Lower limbs,Sole cases or undescribed activities
1968,AUSTRALIA,N,Lower limbs,Surfing
1969,USA,N,Minor,Surfing
1970,USA,N,Minor,Surfing
1971,BRAZIL,N,Lower limbs,Sole cases or undescribed activities
1972,BRAZIL,Y,Fatal,Swimming
1974,AUSTRALIA,N,no harm,Fishing
1976,AUSTRALIA,N,Lower limbs,Surfing
1977,AUSTRALIA,N,no harm,In kayak or canoe
1978,CUBA,N,Upper limbs,Swimming
1979,AUSTRALIA,N,no harm,Fishing
1980,USA,N,Lower limbs,Surfing
1981,NEW ZEALAND,N,no harm,In kayak or canoe
1982,AUSTRALIA,N,Upper limbs,Diving
1983,FIJI,Y,Fatal,Swimming
1984,AUSTRALIA,N,no harm,Fishing
1985,CANADA,N,no harm,Diving
1986,AUSTRALIA,N,Upper limbs,Swimming
1987,NEW ZEALAND,Y,Fatal,Surfing
1988,AUSTRALIA,N,no harm,Diving
1990,USA,N,Lower limbs,Swimming
1991,USA,N,no harm,Sole cases or undescribed activities
1992,AUSTRALIA,N,Lower limbs,Swimming
1993,AUSTRALIA,Y,Fatal,Swimming
1994,USA,N,Lower limbs,Surfing
1995,AUSTRALIA,N,no harm,Fishing
1996,USA,N,Lower limbs,Surfing
1997,USA,N,Severe,Swimming
1998,USA,N,Upper limbs,Swimming
1999,USA,N,Lower limbs,Surfing
2000,USA,N,Minor,Surfing
2001,USA,N,Minor,Surfing
2002,USA,N,Upper limbs,Surfing
2003,USA,N,no harm,Surfing
2004,AUSTRALIA,Y,Fatal,Surfing
2005,AUSTRALIA,Y,Fatal,Surfing
2006,AUSTRALIA,N,Minor,Shark fishing
2007,OKINAWA,Y,Fatal,Surfing
2008,USA,N,Fatal,Sole cases or undescribed activities
2009,USA,N,Lower limbs,Surfing
2010,USA,N,Lower limbs,Surfing
2011,USA,N,Minor,Surfing
2012,USA,N,Minor,Swimming
2013,SOUTH AFRICA,N,Bitten,Diving
2014,TANZANIA,Y,Fatal,Swimming
2015,USA,N,Lower limbs,Sole cases or undescribed activities
2016,REUNION,N,Upper limbs,Surfing
2017,TANZANIA,Y,Fatal,Swimming
2018,USA,N,Lower limbs,Swimming
2019,USA,Y,Fatal,Sole cases or undescribed activities
2020,USA,N,Lower limbs,Sole cases or undescribed activities
2021,USA,N,Severe,Swimming
2022,USA,N,Lower limbs,Surfing
2023,USA,N,Minor,Surfing
2024,USA,N,Severe,Sole cases or undescribed activities
2025,USA,N,Fatal,Swimming
2027,TANZANIA,Y,Fatal,Swimming
2028,USA,N,Minor,Sole cases or undescribed activities
2029,USA,N,Lower limbs,Diving
2030,USA,N,Lower limbs,Surfing
2031,USA,N,Minor,Surfing
2032,SOUTH AFRICA,N,Upper limbs,Surfing
2033,SOUTH AFRICA,N,no harm,Surfing
2034,SOUTH AFRICA,N,no harm,Surfing
2035, TONGA,N,Upper limbs,Diving
2036,USA,N,Minor,Sole cases or undescribed activities
2037,USA,N,Lower limbs,Swimming
2038,USA,N,Lower limbs,Playing
2039,USA,N,Lower limbs,Sole cases or undescribed activities
2040,USA,N,Lower limbs,Sole cases or undescribed activities
2041,USA,N,Lower limbs,Swimming
2042,USA,N,Lower limbs,Sole cases or undescribed activities
2043,USA,N,Lower limbs,Sole cases or undescribed activities
2044,TANZANIA,Y,Fatal,Swimming
2045,PAPUA NEW GUINEA,Y,Fatal,Sole cases or undescribed activities
2046,NEW ZEALAND,N,No harm,Fishing
2047,USA,N,Lower limbs,Sole cases or undescribed activities
2048,USA,N,no harm,Sailing
2049,USA,N,Lower limbs,Surfing
2050,USA,N,Severe,Swimming
2051,USA,N,Severe,Swimming
2052,USA,N,Upper limbs,Diving
2053,TANZANIA,Y,Fatal,Swimming
2056,PAPUA NEW GUINEA,N,Lower limbs,Sole cases or undescribed activities
2057,PAPUA NEW GUINEA,Y,Fatal,Diving
2058,USA,N,Lower limbs,Sole cases or undescribed activities
2059,USA,N,Lower limbs,Surfing
2060,USA,N,no harm,Fishing
2061,AUSTRALIA,N,Lower limbs,Swimming
2062,USA,N,Lower limbs,Surfing
2063,USA,N,Upper limbs,Surfing
2064,NEW CALEDONIA,Y,Fatal,Swimming
2065,AUSTRALIA,N,no harm,Surfing
2066,AUSTRALIA,N,no harm,In kayak or canoe
2067,AUSTRALIA,N,no harm,In kayak or canoe
2070,USA,N,no harm,Swimming
2071,USA,N,Lower limbs,Sole cases or undescribed activities
2072,SOUTH AFRICA,N,Lower limbs,Surfing
2073,ENGLAND,N,Minor,Shark fishing
2074,NEW ZEALAND,N,no harm,Surfing
2075,AUSTRALIA,N,Upper limbs,Surfing
2076,REUNION,Y,Fatal,Sole cases or undescribed activities
2077,THAILAND,Y,Fatal,Diving
2078,USA,N,no harm,Fishing
2079,NEW ZEALAND,N,Lower limbs,Surfing
2080,NEW ZEALAND,N,Upper limbs,Swimming
2081,NEW ZEALAND,N,Upper limbs,Swimming
2082,BRAZIL,N,Lower limbs,Surfing
2084,BRAZIL,N,Lower limbs,Swimming
2085,USA,N,Minor,Surfing
2086,USA,N,Upper limbs,Surfing
2087,USA,N,Upper limbs,Swimming
2088,USA,N,no harm,Surfing
2089,SOUTH AFRICA,N,Lower limbs,Surfing
2090,BRAZIL,N,Lower limbs,Surfing
2091,MARSHALL ISLANDS,N,Lower limbs,Swimming
2092,MARSHALL ISLANDS,N,Lacerations,Swimming
2093,USA,N,Lower limbs,Surfing
2095,USA,N,Upper limbs,Surfing
2096,USA,N,Upper limbs,Surfing
2097,USA,N,Lower limbs,Surfing
2098,ITALY,N,no harm,Fishing
2099,USA,N,no harm,In kayak or canoe
2100,USA,N,Lower limbs,Sole cases or undescribed activities
2101,USA,N,Minor,Sole cases or undescribed activities
2102,USA,N,Lower limbs,Surfing
2103,USA,N,Lower limbs,Sole cases or undescribed activities
2104,USA,N,Lower limbs,Surfing
2105,USA,N,Lower limbs,Surfing
